timestamp,client_ip,endpoint_uri,http_method,response_time_ms,status_code,bytes_sent,is_anomaly,anomaly_type
2026-01-05T09:12:45,10.29.91.37,/api/v1/qr/pay,POST,12177.27,504,2288,1,high_latency
2026-01-05T16:07:43,10.46.41.145,/api/v1/ibanking/session,GET,68.92,200,2562,0,normal
2026-01-05T16:21:36,10.4.134.247,/api/v1/transfers/internal,POST,88.57,200,3516,0,normal
2026-01-05T16:23:31,10.16.247.127,/api/v1/auth/otp/verify,POST,70.6,400,2108,0,normal
2026-01-05T16:27:38,10.24.183.168,/api/v1/auth/login,POST,76.35,400,4205,0,normal
2026-01-05T16:49:30,10.24.11.139,/api/v1/accounts/balance,GET,89.57,200,2407,0,normal
2026-01-05T17:02:37,10.23.179.71,/api/v1/notifications/push,GET,79.53,200,2951,0,normal
2026-01-05T17:03:21,10.28.39.116,/api/v1/auth/otp/verify,POST,137.99,204,1019,0,normal
2026-01-05T17:07:16,10.23.80.6,/api/v1/cards/transactions,GET,41.6,400,5954,0,normal
2026-01-05T17:15:56,10.39.141.117,/api/v1/auth/otp/verify,POST,94.27,200,1998,0,normal
2026-01-05T17:20:58,10.47.161.74,/api/v1/auth/login,POST,79.31,200,5992,0,normal
2026-01-05T17:51:16,10.24.183.168,/api/v1/transfers/napas,POST,74.53,200,1766,0,normal
2026-01-05T18:15:59,10.40.110.119,/api/v1/ibanking/session,GET,79.18,201,1412,0,normal
2026-01-05T18:20:51,10.5.137.6,/api/v1/payments/bill,POST,44.02,204,707,0,normal
2026-01-05T18:27:29,10.5.156.232,/api/v1/transfers/internal,POST,98.63,400,596,0,normal
2026-01-05T18:39:00,10.9.92.119,/api/v1/ibanking/session,GET,41.62,200,2817,0,normal
2026-01-05T18:53:54,10.4.177.51,/api/v1/cards/transactions,GET,67.03,204,5959,0,normal
2026-01-05T19:00:33,10.25.145.10,/api/v1/cards/lock,PUT,78.6,200,5067,0,normal
2026-01-05T19:17:35,10.46.196.82,/api/v1/auth/otp/verify,POST,57.57,200,4532,0,normal
2026-01-05T19:25:50,10.6.144.235,/api/v1/loans/status,GET,122.48,200,3129,0,normal
2026-01-05T19:30:51,10.35.21.187,/api/v1/auth/login,POST,68.54,200,2660,0,normal
2026-01-05T19:49:19,10.29.183.222,/api/v1/cards/transactions,POST,100.35,400,1643,0,normal
2026-01-05T20:02:15,10.42.4.192,/api/v1/savings/deposit,GET,98.28,200,5321,0,normal
2026-01-05T20:09:35,10.48.80.52,/api/v1/loans/status,POST,128.74,200,4906,0,normal
2026-01-05T20:34:41,10.5.156.232,/api/v1/transfers/internal,POST,43.91,200,1716,0,normal
2026-01-06T00:07:17,10.15.195.211,/api/v1/accounts/balance,GET,93.58,200,724,0,normal
2026-01-06T00:15:00,10.15.195.211,/api/v1/cards/lock,PUT,28.97,200,2898,0,normal
2026-01-06T00:31:59,10.37.45.93,/api/v1/transfers/napas,POST,53.87,200,3351,0,normal
2026-01-06T00:44:18,10.3.24.114,/api/v1/loans/status,GET,41.75,204,5392,0,normal
2026-01-06T01:02:10,10.47.106.123,/api/v1/cards/lock,PUT,70.76,200,4987,0,normal
2026-01-06T01:51:55,10.37.153.74,/api/v1/cards/lock,PUT,120.08,200,4222,0,normal
2026-01-06T02:07:38,10.1.152.141,/api/v1/cards/transactions,GET,84.23,200,5846,0,normal
2026-01-06T02:11:45,10.16.245.93,/api/v1/savings/deposit,POST,66.58,200,934,0,normal
2026-01-06T02:11:48,10.5.156.232,/api/v1/loans/status,POST,68.83,200,3882,0,normal
2026-01-06T02:29:36,10.35.90.18,/api/v1/savings/deposit,POST,69.53,200,2777,0,normal
2026-01-06T03:20:33,10.42.71.233,/api/v1/accounts/statements,GET,68.32,200,1302,0,normal
2026-01-06T03:30:38,10.46.189.93,/api/v1/notifications/push,GET,25.8,200,405,0,normal
2026-01-06T04:25:28,10.25.169.80,/api/v1/loans/status,GET,99.77,200,5165,0,normal
2026-01-06T04:54:23,10.15.141.80,/api/v1/transfers/napas,POST,16771.29,504,2607,1,high_latency
2026-01-06T04:56:59,10.15.174.160,/api/v1/auth/otp/verify,POST,65.82,204,3762,0,normal
2026-01-06T11:20:55,10.44.138.36,/api/v1/transfers/napas,POST,15056.09,504,1687,1,high_latency
2026-01-06T16:00:48,10.49.217.9,/api/v1/cards/lock,POST,3650.28,500,379,1,system_error
2026-01-06T16:45:35,10.33.125.112,/api/v1/transfers/internal,POST,114.27,204,3759,0,normal
2026-01-06T16:49:34,10.22.57.24,/api/v1/cards/lock,PUT,50.54,200,3757,0,normal
2026-01-06T16:54:40,10.17.156.150,/api/v1/auth/otp/verify,POST,39.99,200,3989,0,normal
2026-01-06T17:00:30,10.8.149.201,/api/v1/auth/otp/verify,POST,68.6,200,5763,0,normal
2026-01-06T17:16:59,10.37.106.2,/api/v1/cards/transactions,GET,117.31,200,3647,0,normal
2026-01-06T17:30:53,10.17.111.249,/api/v1/loans/status,GET,30.02,204,3285,0,normal
2026-01-06T17:49:37,10.32.245.220,/api/v1/savings/deposit,GET,63.33,200,900,0,normal
2026-01-06T18:01:49,10.9.92.119,/api/v1/loans/status,GET,78.97,200,3038,0,normal
2026-01-06T18:03:12,10.45.126.178,/api/v1/qr/pay,GET,74.13,200,463,0,normal
2026-01-06T18:07:09,10.17.156.150,/api/v1/auth/otp/verify,POST,43.55,200,2709,0,normal
2026-01-06T18:11:23,10.31.42.192,/api/v1/savings/deposit,POST,75.75,200,3613,0,normal
2026-01-06T18:19:34,10.16.247.127,/api/v1/auth/otp/verify,POST,129.77,201,598,0,normal
2026-01-06T18:21:30,10.44.29.132,/api/v1/savings/deposit,POST,36.23,204,2236,0,normal
2026-01-06T19:45:39,10.23.84.58,/api/v1/transfers/napas,POST,172.1,400,1303,0,normal
2026-01-06T19:50:00,10.32.245.220,/api/v1/auth/otp/verify,POST,70.57,200,2587,0,normal
2026-01-06T19:51:05,10.3.195.146,/api/v1/qr/pay,POST,90.87,201,3340,0,normal
2026-01-06T19:54:12,10.49.148.114,/api/v1/auth/otp/verify,POST,133.56,201,391,0,normal
2026-01-06T20:09:53,10.15.206.147,/api/v1/ibanking/session,GET,55.99,200,4833,0,normal
2026-01-06T20:12:53,10.8.39.73,/api/v1/cards/transactions,POST,57.01,200,3861,0,normal
2026-01-06T20:12:55,10.5.71.62,/api/v1/payments/bill,POST,17587.85,504,3114,1,high_latency
2026-01-06T20:13:17,10.24.11.139,/api/v1/savings/deposit,GET,56.09,200,831,0,normal
2026-01-06T20:16:34,10.31.200.215,/api/v1/auth/otp/verify,POST,61.38,200,5652,0,normal
2026-01-06T20:27:07,10.23.199.17,/api/v1/accounts/balance,POST,52.56,400,4650,0,normal
2026-01-07T00:04:05,10.27.94.79,/api/v1/auth/login,POST,62.87,200,426,0,normal
2026-01-07T00:04:42,10.21.40.211,/api/v1/loans/status,GET,50.28,201,2108,0,normal
2026-01-07T00:13:13,10.4.197.166,/api/v1/auth/otp/verify,POST,59.97,200,2719,0,normal
2026-01-07T00:23:46,10.46.108.29,/api/v1/transfers/napas,POST,41.66,200,3484,0,normal
2026-01-07T01:29:42,10.15.206.147,/api/v1/accounts/balance,GET,82.76,200,3992,0,normal
2026-01-07T01:31:21,10.7.148.24,/api/v1/savings/deposit,GET,50.71,200,1358,0,normal
2026-01-07T02:04:55,10.22.187.69,/api/v1/savings/deposit,GET,139.66,200,4592,0,normal
2026-01-07T02:11:21,10.19.229.73,/api/v1/ibanking/session,GET,105.19,200,490,0,normal
2026-01-07T02:12:03,10.48.58.60,/api/v1/qr/pay,GET,60.25,200,2420,0,normal
2026-01-07T03:04:31,10.42.71.233,/api/v1/cards/transactions,GET,101.6,201,2124,0,normal
2026-01-07T03:30:46,10.48.235.127,/api/v1/payments/bill,POST,86.78,204,3226,0,normal
2026-01-07T03:45:39,10.37.153.74,/api/v1/payments/bill,POST,39.54,400,1996,0,normal
2026-01-07T04:04:08,10.23.80.6,/api/v1/payments/bill,POST,50.26,200,3894,0,normal
2026-01-07T04:15:27,10.48.113.226,/api/v1/transfers/internal,POST,67.08,400,2451,0,normal
2026-01-07T04:42:48,10.46.196.82,/api/v1/accounts/statements,GET,75.98,400,1506,0,normal
2026-01-07T04:56:14,10.21.205.213,/api/v1/transfers/napas,GET,3985.91,503,1093,1,system_error
2026-01-07T16:17:32,10.36.194.182,/api/v1/notifications/push,POST,19.24,200,507,0,normal
2026-01-07T16:38:50,10.5.137.6,/api/v1/auth/login,POST,70.97,200,4054,0,normal
2026-01-07T16:50:26,10.7.172.27,/api/v1/cards/lock,PUT,25.27,200,5212,0,normal
2026-01-07T17:13:45,10.15.235.37,/api/v1/ibanking/session,POST,87.7,200,4607,0,normal
2026-01-07T17:21:21,10.20.30.95,/api/v1/auth/login,POST,55.13,400,4159,0,normal
2026-01-07T17:23:54,10.23.199.17,/api/v1/loans/status,POST,90.88,200,2982,0,normal
